HOW TO READ THIS FILE
=====================
Each style was run on the same 6 input sentences with TinyStyler.
All counts are out of 6 outputs per style.

avg_dist   How different the output text is from the input, averaged over
           the 6 outputs. Per output: both strings are lowercased, then
           compared with Python's difflib.SequenceMatcher; the score is
           1 - (matching ratio), so 0.0 = identical to the input and
           1.0 = nothing in common. This only measures that the TEXT
           changed, not that the STYLE is right: hallucinated ramble
           scores high, and a correct all-caps conversion scores near 0
           because the comparison ignores case.
copies     Outputs nearly identical to the input (avg_dist < 0.05):
           the style did (almost) nothing.
swears     Outputs containing profanity (simple word check).
halluc     LLM-as-a-judge: outputs that INVENT content not in the input
           (new facts, names, invented continuations; degenerate
           repetition also counts). Judge: Claude, one pass per style.
in_style   LLM-as-a-judge: outputs that clearly exhibit the target
           style, judged against the style's own bank examples.
           Caution: for styles whose examples are generic casual text
           (e.g. the demographics), generic casual output counts as a
           match, so a high value there means little.
halluc/in_style are model judgments, not ground truth.

Styles are grouped; within each group, biggest text change first.


--- new: celebrity accounts ---
avg_dist  copies  swears  halluc  in_style  style
   0.363       0       0       4         4  ddlovato
   0.342       0       1       4         0  arianagrande
   0.337       0       0       4         3  rihanna
   0.304       0       0       4         0  ladygaga
   0.301       0       2       2         1  jtimberlake
   0.297       1       0       4         1  barackobama
   0.268       0       0       4         5  jimmyfallon
   0.261       0       0       3         4  britneyspears
   0.257       0       1       4         2  justinbieber
   0.250       0       1       5         0  taylorswift13
   0.242       0       0       3         1  shakira
   0.238       0       0       2         3  selenagomez
   0.238       1       0       2         1  cristiano
   0.187       1       1       3         0  katyperry

--- new: demographics ---
avg_dist  copies  swears  halluc  in_style  style
   0.501       0       0       6         6  age_25-34
   0.493       0       0       6         0  gender_female
   0.492       0       0       6         6  education_bachelor
   0.492       0       1       6         0  ethnic_southasian
   0.486       0       0       6         5  education_doctorate
   0.485       0       0       5         5  education_nodegree
   0.477       0       0       4         5  ethnic_african
   0.474       0       0       5         3  politics_rightwing
   0.473       0       0       6         0  gender_male
   0.472       0       0       6         0  ethnic_other
   0.471       0       0       4         6  education_tradeortechnicalorvocationaltraining
   0.471       0       0       6         6  age_18-24
   0.470       0       0       6         4  ethnic_caucasian
   0.467       0       0       6         6  age_45-54
   0.463       0       0       6         3  ethnic_eastasian
   0.460       0       0       6         6  age_55-74
   0.447       0       0       5         2  politics_leftwing
   0.445       0       1       6         0  ethnic_hispanicorlatino
   0.443       0       1       5         3  politics_centrist
   0.441       0       2       5         4  education_some_highschool_no_diploma
   0.437       0       0       5         6  education_edu-associatedegree
   0.437       0       2       5         4  education_highschool
   0.433       0       0       4         6  education_master
   0.420       0       0       6         6  age_35-44

--- new: dialects ---
avg_dist  copies  swears  halluc  in_style  style
   0.332       0       1       1         0  english_dialects_in_the_southwest_of_england
   0.304       0       1       3         0  vernacular_liberian_english
   0.300       0       1       3         0  manx_english
   0.294       0       0       0         0  ghanaian_english
   0.286       0       0       1         0  irish_english
   0.268       1       0       1         0  pakistani_english
   0.265       0       3       4         0  falkland_islands_english
   0.259       0       5       5         0  earlier_african_american_vernacular_english
   0.257       0       1       2         0  newfoundland_english
   0.250       0       1       2         0  bahamian_creole
   0.229       0       0       3         0  vincentian_creole
   0.225       0       3       2         0  australian_english
   0.221       1       1       0         0  liberian_settler_english
   0.220       0       1       1         1  palmerston_english
   0.220       1       0       3         0  eastern_maroon_creole
   0.218       0       0       3         0  welsh_english
   0.211       0       0       1         0  channel_islands_english
   0.210       0       1       2         0  jamaican_english
   0.204       0       1       2         0  belizean_creole
   0.193       0       0       0         0  aboriginal_english
   0.173       0       0       2         0  white_zimbabwean_english
   0.170       2       0       0         0  trinidadian_creole
   0.159       2       0       2         0  tanzanian_english
   0.151       0       1       2         0  croker_island_english
   0.147       0       0       1         0  jamaican_creole
   0.140       0       0       1         0  kenyan_english
   0.133       1       2       1         0  scottish_english
   0.125       2       1       1         0  indian_south_african_english
   0.114       0       0       1         0  barbadian_creole
   0.104       1       0       0         0  indian_english
   0.086       1       0       0         0  hong_kong_english
   0.085       1       0       0         0  malaysian_english
   0.069       2       0       0         0  ugandan_english

--- new: historical english ---
avg_dist  copies  swears  halluc  in_style  style
   0.484       0       1       5         0  late_modern_english
   0.092       2       0       1         0  early_modern_english

--- new: historical english (unusual, name-only) ---
avg_dist  copies  swears  halluc  in_style  style
   0.279       0       0       6         0  old_english
   0.136       0       0       0         0  middle_english

--- new: medium ---
avg_dist  copies  swears  halluc  in_style  style
   0.425       0       1       4         6  spoken_communication
   0.366       0       5       4         5  digital_communication

--- new: registers ---
avg_dist  copies  swears  halluc  in_style  style
   0.455       0       0       6         1  interactive
   0.447       0       0       6         0  informational
   0.446       0       0       6         0  narrative
   0.438       0       0       6         1  opinion
   0.425       0       0       6         0  instructional
